Month,BEV
11-Jan,103
11-Feb,83
11-Mar,298
11-Apr,573
11-May,"1,150"
11-Jun,"1,708"
11-Jul,932
11-Aug,"1,363"
11-Sep,"1,031"
11-Oct,866
11-Nov,773
11-Dec,"1,212"
12-Jan,824
12-Feb,639
12-Mar,961
12-Apr,479
12-May,612
12-Jun,863
12-Jul,479
12-Aug,866
12-Sep,"1,306"
12-Oct,"2,240"
12-Nov,"2,614"
12-Dec,"2,704"
13-Jan,"2,372"
13-Feb,"2,666"
13-Mar,"4,553"
13-Apr,"4,403"
13-May,"4,545"
13-Jun,"4,573"
13-Jul,"3,943"
13-Aug,"4,956"
13-Sep,"3,650"
13-Oct,"3,733"
13-Nov,"3,930"
13-Dec,"4,770"
14-Jan,"2,971"
14-Feb,"3,324"
14-Mar,"4,578"
14-Apr,"4,187"
14-May,"5,802"
14-Jun,"4,982"
14-Jul,"5,693"
14-Aug,"6,483"
14-Sep,"5,983"
14-Oct,"5,927"
14-Nov,"6,176"
14-Dec,"7,419"
15-Jan,"3,977"
15-Feb,"4,435"
15-Mar,"5,715"
15-Apr,"6,037"
15-May,"7,057"
15-Jun,"6,975"
15-Jul,"5,143"
15-Aug,"5,224"
15-Sep,"6,704"
15-Oct,"5,740"
15-Nov,"6,103"
15-Dec,"7,954"
16-Jan,"3,576"
16-Feb,"4,424"
16-Mar,"7,115"
16-Apr,"6,266"
16-May,"6,526"
16-Jun,"7,678"
16-Jul,"7,762"
16-Aug,"8,601"
16-Sep,"10,032"
16-Oct,"5,408"
16-Nov,"6,266"
16-Dec,"13,077"
17-Jan,"5,398"
17-Feb,"5,846"
17-Mar,"10,171"
17-Apr,"5,961"
17-May,"8,038"
17-Jun,"8,814"
17-Jul,"7,802"
17-Aug,"8,850"
17-Sep,"13,421"
17-Oct,"6,792"
17-Nov,"8,435"
17-Dec,"14,959"
18-Jan,"9,154"
18-Feb,"6,653"
18-Mar,"11,060"
18-Apr,"12,794"
18-May,"12,232"
18-Jun,"12,997"
18-Jul,"15,387"
18-Aug,"20,222"
18-Sep,"24,163"
18-Oct,"29,937"
18-Nov,"24,089"
18-Dec,"28,374"
19-Jan,"26,942"
19-Feb,"10,644"
19-Mar,"17,281"
19-Apr,"20,113"
19-May,"18,012"
19-Jun,"23,421"
19-Jul,"23,559"
19-Aug,"18,864"
19-Sep,"21,812"
19-Oct,"23,072"
19-Nov,"11,421"
19-Dec,"18,681"
20-Jan,"26,391"
20-Feb,"11,151"
20-Mar,"18,234"
20-Apr,"8,058"
20-May,"8,626"
20-Jun,"16,809"
20-Jul,"23,075"
20-Aug,"17,291"
20-Sep,"28,101"
20-Oct,"29,959"
20-Nov,"22,225"
20-Dec,"28,620"
21-Jan,"25,103"
21-Feb,"26,215"
21-Mar,"40,755"
21-Apr,"33,547"
21-May,"29,796"
21-Jun,"45,913"
21-Jul,"42,013"
21-Aug,"35,499"
21-Sep,"42,020"
21-Oct,"42,485"
21-Nov,"46,687"
21-Dec,"49,441"
22-Jan,"42,780"
22-Feb,"46,859"
22-Mar,"64,160"
22-Apr,"52,537"
22-May,"57,374"
22-Jun,"59,151"
22-Jul,"64,161"
22-Aug,"60,126"
22-Sep,"70,056"
22-Oct,"69,705"
22-Nov,"69,924"
22-Dec,"79,262"
23-Jan,"78,382"
23-Feb,"80,759"
23-Mar,"82,563"
23-Apr,"82,601"