DATE,GASREGW
1/1/11,3.0948
2/1/11,3.211
3/1/11,3.56125
4/1/11,3.7995
5/1/11,3.9062
6/1/11,3.68
7/1/11,3.65025
8/1/11,3.6394
9/1/11,3.61125
10/1/11,3.448
11/1/11,3.38375
12/1/11,3.26575
1/1/12,3.38
2/1/12,3.57925
3/1/12,3.85175
4/1/12,3.9004
5/1/12,3.73225
6/1/12,3.53875
7/1/12,3.4392
8/1/12,3.7215
9/1/12,3.8485
10/1/12,3.7456
11/1/12,3.45175
12/1/12,3.3104
1/1/13,3.3185
2/1/13,3.67
3/1/13,3.71125
4/1/13,3.5702
5/1/13,3.61475
6/1/13,3.626
7/1/13,3.591
8/1/13,3.57375
9/1/13,3.5324
10/1/13,3.34375
11/1/13,3.24275
12/1/13,3.2764
1/1/14,3.3125
2/1/14,3.35625
3/1/14,3.5332
4/1/14,3.66075
5/1/14,3.67275
6/1/14,3.6916
7/1/14,3.61125
8/1/14,3.4865
9/1/14,3.4062
10/1/14,3.1705
11/1/14,2.91225
12/1/14,2.5426
1/1/15,2.11575
2/1/15,2.21625
3/1/15,2.4636
4/1/15,2.469
5/1/15,2.71825
6/1/15,2.8016
7/1/15,2.7935
8/1/15,2.6362
9/1/15,2.36525
10/1/15,2.29
11/1/15,2.158
12/1/15,2.0375
1/1/16,1.9485
2/1/16,1.7636
3/1/16,1.96875
4/1/16,2.11275
5/1/16,2.2682
6/1/16,2.3655
7/1/16,2.239
8/1/16,2.1776
9/1/16,2.2185
10/1/16,2.2494
11/1/16,2.1815
12/1/16,2.25425
1/1/17,2.349
2/1/17,2.304
3/1/17,2.325
4/1/17,2.41725
5/1/17,2.3914
6/1/17,2.3465
7/1/17,2.2998
8/1/17,2.38025
9/1/17,2.64525
10/1/17,2.505
11/1/17,2.5635
12/1/17,2.47675
1/1/18,2.5546
2/1/18,2.58725
3/1/18,2.59125
4/1/18,2.757
5/1/18,2.90075
6/1/18,2.89075
7/1/18,2.8486
8/1/18,2.83575
9/1/18,2.8355
10/1/18,2.86
11/1/18,2.64725
12/1/18,2.3656
1/1/19,2.24775
2/1/19,2.30925
3/1/19,2.516
4/1/19,2.7984
5/1/19,2.85925
6/1/19,2.71575
7/1/19,2.74
8/1/19,2.621
9/1/19,2.5922
10/1/19,2.627
11/1/19,2.59775
12/1/19,2.555
1/1/20,2.54775
2/1/20,2.442
3/1/20,2.2342
4/1/20,1.8405
5/1/20,1.8695
6/1/20,2.0822
7/1/20,2.18325
8/1/20,2.1824
9/1/20,2.18275
10/1/20,2.158
11/1/20,2.1082
12/1/20,2.19525
1/1/21,2.33425
2/1/21,2.501
3/1/21,2.8104
4/1/21,2.85825
5/1/21,2.9852
6/1/21,3.06375
7/1/21,3.136
8/1/21,3.1578
9/1/21,3.175
10/1/21,3.2905
11/1/21,3.3948
12/1/21,3.3065
1/1/22,3.3146
2/1/22,3.51725
3/1/22,4.22175
4/1/22,4.1085
5/1/22,4.4436
6/1/22,4.929
7/1/22,4.55925
8/1/22,3.975
9/1/22,3.70025
10/1/22,3.8152
11/1/22,3.685
12/1/22,3.21
1/1/23,3.3392
2/1/23,3.38875
3/1/23,3.422
4/1/23,3.603