Category: All categories,
Month,electric car: (United States)
2011-01,20
2011-02,19
2011-03,21
2011-04,24
2011-05,20
2011-06,17
2011-07,15
2011-08,14
2011-09,16
2011-10,21
2011-11,21
2011-12,17
2012-01,17
2012-02,19
2012-03,22
2012-04,19
2012-05,17
2012-06,16
2012-07,16
2012-08,14
2012-09,16
2012-10,16
2012-11,16
2012-12,15
2013-01,14
2013-02,15
2013-03,16
2013-04,18
2013-05,18
2013-06,17
2013-07,18
2013-08,19
2013-09,18
2013-10,15
2013-11,18
2013-12,16
2014-01,15
2014-02,21
2014-03,17
2014-04,19
2014-05,19
2014-06,18
2014-07,19
2014-08,17
2014-09,18
2014-10,17
2014-11,17
2014-12,18
2015-01,16
2015-02,19
2015-03,15
2015-04,17
2015-05,20
2015-06,17
2015-07,17
2015-08,16
2015-09,20
2015-10,18
2015-11,17
2015-12,17
2016-01,16
2016-02,15
2016-03,16
2016-04,21
2016-05,16
2016-06,15
2016-07,16
2016-08,14
2016-09,16
2016-10,15
2016-11,18
2016-12,18
2017-01,16
2017-02,16
2017-03,16
2017-04,19
2017-05,18
2017-06,17
2017-07,21
2017-08,19
2017-09,21
2017-10,20
2017-11,23
2017-12,23
2018-01,20
2018-02,19
2018-03,19
2018-04,18
2018-05,20
2018-06,17
2018-07,19
2018-08,20
2018-09,24
2018-10,23
2018-11,22
2018-12,22
2019-01,20
2019-02,23
2019-03,25
2019-04,27
2019-05,28
2019-06,26
2019-07,25
2019-08,26
2019-09,29
2019-10,24
2019-11,31
2019-12,29
2020-01,27
2020-02,29
2020-03,19
2020-04,17
2020-05,20
2020-06,24
2020-07,27
2020-08,25
2020-09,30
2020-10,31
2020-11,32
2020-12,33
2021-01,38
2021-02,43
2021-03,39
2021-04,43
2021-05,53
2021-06,52
2021-07,46
2021-08,44
2021-09,41
2021-10,47
2021-11,61
2021-12,47
2022-01,50
2022-02,63
2022-03,100
2022-04,74
2022-05,70
2022-06,85
2022-07,71
2022-08,72
2022-09,63
2022-10,56
2022-11,48
2022-12,48
2023-01,51
2023-02,52
2023-03,47
2023-04,51